Шарик;Gea;2E;F4;360;0;4;21;;;;;;;;;;;;;;;;;;;;;;21;;3.2
Шарик;Gea;2E;F5;360;0;3;12;;;;;;;;;;;;;;;;;;;;;;12;;2.6
Шарик;Gea;2E;F6;360;0;2;8;;;;;;;;;;;;;;;;;;;;;;8;;2.3
Шарик;Gea;2E;F8;360;0;3;12;;;;;;;;;;;;;;;;;;;;;;12;;2.6
Шарик;Hake;1;X1-1;360;0.5;1;2.1;2.1;;;;-;;;;;;;;;;;;;;;;;0;0.5;1.5
Шарик;Hake;1;Y1-1;360;1;1.5;4.2;4.2;;;;-;;;;;;;;;;;;;;;;;0;0.5;1.5
Шарик;Hake;1;A2-1;360;2;2.5;7.7;7.7;;;;12.2;;;;;;;;;;;;;;;;;12.2;0.5;2
Шарик;Hake;1;B3-1;360;2.5;3;11;11;;;;17.3;;;;;;;;;;;;;;;;;17.3;1;2.5
Шарик;Hake;1;B5-1;360;3;4;17.5;17.5;;;;28.1;;;;;;;;;;;;;;;;;28.1;1;2.5
Шарик;Hake;1;F4-1;360;2.5;3.5;13.5;13.5;;;;19.5;;;;;;;;;;;;;;;;;19.5;1;2.5
Шарик;Hake;1;F5-1;360;3;4;21.7;21.7;;;;32.2;;;;;;;;;;;;;;;;;32.2;1;2.5
Шарик;Hake;1;C4-1;360;2.5;3.5;11.8;11.8;;;;19.2;;;;;;;;;;;;;;;;;19.2;1;2.5
Шарик;Hake;1;C5-1;360;3;4;22.8;22.8;;;;36.8;;;;;;;;;;;;;;;;;36.8;1;2.5
Шарик;Hake;1;D4-1;360;4;5;28.6;28.6;;;;41.7;;;;;;;;;;;;;;;;;41.7;1.5;3
Шарик;Hake;1;D5-1;360;0;6;49.1;49.1;;;;78.7;;;;;;;;;;;;;;;;;78.7;1.5;3
Шарик;Hake;2;X1-2;180;0.5;1;1.5;1.5;;;;-;;;;;;;;;;;;;;;;;0;0.5;1.5
Шарик;Hake;2;Y1-2;180;1;1.5;2.1;2.1;;;;-;;;;;;;;;;;;;;;;;0;0.5;1.5
Шарик;Hake;2;A2-2;180;2;2.5;5.6;5.6;;;;8.6;;;;;;;;;;;;;;;;;8.6;0.5;2
Шарик;Hake;2;B3-2;180;2.5;3;8.7;8.7;;;;12.8;;;;;;;;;;;;;;;;;12.8;1;2.5
Шарик;Hake;2;B5-2;180;3;4;14.2;14.2;;;;23;;;;;;;;;;;;;;;;;23;1;2.5
Шарик;Hake;2;F4-2;180;2.5;3.5;9.8;9.8;;;;15.6;;;;;;;;;;;;;;;;;15.6;1;2.5
Шарик;Hake;2;F5-2;180;3;4;16;16;;;;26.7;;;;;;;;;;;;;;;;;26.7;1;2.5
Шарик;Hake;2;C4-2;180;2.5;3.5;9.6;9.6;;;;14.8;;;;;;;;;;;;;;;;;14.8;1;2.5
Шарик;Hake;2;C5-2;180;3;4;14.9;14.9;;;;24.8;;;;;;;;;;;;;;;;;24.8;1;2.5
Шарик;Hake;2;D4-2;180;4;4.5;19.5;19.5;;;;30.6;;;;;;;;;;;;;;;;;30.6;1.5;3
Шарик;Hake;2;D5-2;180;0;6;31;31;;;;51;;;;;;;;;;;;;;;;;51;1.5;3
Шарик;Hake;2;D6-2;180;0;10;36.1;36.1;;;;60;;;;;;;;;;;;;;;;;60;1.5;3
Шарик;Handtman;9513;9513 D10;180;0.5;1;1.5;;1.5;;2;;;;;;;;;;;;;;;;;;2;1.5;2
Шарик;Handtman;9513;9513 D25;180;2;3;12;;12;;14;;;;;;;;;;;;;;;;;;14;1.5;2
Шарик;Handtman;9513;9513 D32;180;3;4;16;;16;;18;;;;;;;;;;;;;;;;;;18;1.5;2
Шарик;Handtman;9513;9513 D50;180;4;6;25;;25;;29;;;;;;;;;;;;;;;;;;29;1.5;2
Шарик;Handtman;9514;9514 D25;180;2;3;13;;13;;15;;;;;;;;;;;;;;;;;;15;1.5;2
Шарик;Handtman;9514;9514 D32;180;3;4;17;;17;;19;;;;;;;;;;;;;;;;;;19;1.5;2
Шарик;Handtman;9514;9514 D50;180;4;6;23;;23;;27;;;;;;;;;;;;;;;;;;27;1.5;2
Шарик;Handtman;9515;9515 D10;220;0.5;1;2.5;;2.5;;3;;;;;;;;;;;;;;;;;;3;1.5;2
Шарик;Handtman;9515;9515 D25;220;2;3;15;;15;;17;;;;;;;;;;;;;;;;;;17;1.5;2
Шарик;Handtman;9515;9515 D32;220;3;4.5;22;;22;;25;;;;;;;;;;;;;;;;;;25;1.5;2
Шарик;Handtman;9515;9515 D50;220;4;6;30;;30;;35;;;;;;;;;;;;;;;;;;35;1.5;2
Шарик;Handtman;9515;9515 D65;220;8;10;56;;56;;64;;;;;;;;;;;;;;;;;;64;1.5;2
Шарик;Handtman;9516;9516 D50;220;8;10;43;;43;;50;;;;;;;;;;;;;;;;;;50;1.5;2
Шарик;Diversey;Diversey;TCSS-5537;180;0;0;12;12;15;;;;;;;;;;;;;;;;;;;;15;0.8;1.5
Шарик;Diversey;Diversey;JCSS-5517;360;0;0;18;;18;;;;;;;;;;;;;;;;;;;;18;;1.5
Шарик;Diversey;Diversey;ZCSS-5527;330;0;0;17;;17;;;;;;;;;;;;;;;;;;;;17;;1.5
Шарик;Diversey;Diversey;FC-5569;120;0;0;15;;15;;;;;;;;;;;;;;;;;;;;15;0.6;1.5
Шарик;Diversey;Diversey;KCSS-5547;180;0;0;15;;15;;;;;;;;;;;;;;;;;;;;15;;1.5
Шарик;Diversey;Diversey;GC-7735;180;0;0;18;18;22;;;;;;;;;;;;;;;;;;;;22;1;1.5
Шарик;Diversey;Diversey;GCSS-7737;180;0;0;30;30;;;;;;;;;;;;;;;;;;;;;30;1;2
Шарик;Diversey;Diversey;GCS-7738;180;0;0;34;34;;;;;;;;;;;;;;;;;;;;;48;1;3
Шарик;Diversey;Diversey;GCSZ-7758;180;0;0;30;30;;;;;;;;;;;;;;;;;;;;;48;1;3
Шарик;Diversey;Diversey;BC-7745;180;0;0;22;;22;;;;;;;;;;;;;;;;;;;;22;;1.5
Шарик;Diversey;Diversey;BCS-7747;180;0;0;30;;;;;;;;;;;;;;;;;;;;;;30;;2
Шарик;Diversey;Diversey;AC-7715;360;0;0;30;;30;;;;;;;;;;;;;;;;;;;;30;;1.5
Шарик;Diversey;Diversey;ACS-7717;360;0;0;40;;;;;;;;;;;;;;;;;;;;;;40;;2
